pc_learn;learning_outcome;cat_1;cat_2
0;Gesellige Lehrerrunde hilft Stress abbauen;Nichts;
3;Geschichte Straßburgs;Wissenserweiterung;
5;Gesetze und Verwaltungsvorschriften finden und interpretieren;Nichts;
0;Gespräch mit Abteilungsleitung;Nichts;
4;Gesetzesänderungen in Unterrichtsmaterialien eingearbeitet;Nichts;
0;Gespräch mit Assistenz erforderlich - Stärkung mit Rückenwind, Gespräch mit zwei Schülern;Nichts;
2;Gespräch Abteilungsleiter;Nichts;
4;Gespräch mit älteren, erfahrenen Kollegen;Nichts;
5;Gespräch mit Ausbilderin zu langfristig erkrankten Sus;Nichts;
1;Gespräch mit Ausbildern;Nichts;
7;Gespräch mit den Klassensprechern über sensible Klassenthemen;Nichts;
1;Gespräch mit externen Sozialpädagogen und externen Schulleitungen bezüglich der Aufnahme neuer Schüler für das Schuljahr 2022-2023;Nichts;
4;Gespräch mit Schülerin, warum die Leistung so kurz vor der Prüfung nachgelassen hat;Nichts;
1;Gespräch mit Kollegen;Nichts;
2;Gespräch mit Kollegen während des Essens: Anmeldung zur nachfolgenden Fortbildung;Nichts;
2;Gespräch mit Schülern zu Fehlverhalten;Nichts;
5;"Gespräch mit Schulleitung
";Nichts;
0;Gespräch mit zwei Schülern- Raumwechseln;Nichts;
2;Gespräch mit Sozialarbeiterin;Nichts;
2;Gespräch mit SuS;Nichts;
4;Gespräch über Koordination AV;Nichts;
2;Gespräch über mögliche Außerschulische Veranstaltung;Nichts;
7;Gespräche führen / Über schwierige SuS sprechen;Nichts;
0;Gespräche mit den Vertretern der Betriebe sind wichtig zum Ansprechen von Problemen, Austausch, Vertrauen schaffen;Positive Einstellung zur Teamarbeit;
2;Gespräche führen ….;Nichts;
3;gemeinsames Brainstorming hilft;Gemeinsame Planung und Problemlösung;
2;Gespräche mit Eltern führen, kann auch angenehm sein, gut vorbereitet mithilfe der Schulsozialarbeiterin;Situationsdiagnostik;
2;Gespräche mit Kolleginnen;Nichts;
5;Gespräche mit Kolleginnen über Schüler*innen und Noten und über weitere Abläufe;Nichts;
7;Gespräche mit Schülern planen und nie nur unter vier Augen. Unterstützung durch Kolleginnen;Gegenseitige Unterstützung;
3;Gespräche mit Schülern sind immer lehrreich!;Situationsdiagnostik;
5;Gesprächsführung;Festigung von Kernkompetenzen;
1;Gespräche mit Teilnehmern der Prüfungskommission;Nichts;
5;Gespräche über SuS, Planungen abgesprochen, Unterrichtsinhalte besprochen;Nichts;
3;Gesprächsführung mit Referendar;Nichts;
4;Gesprächsführung verbessert;Festigung von Kernkompetenzen;
3;Gesprächsführung, Problemlösekompetenz;Festigung von Kernkompetenzen;
4;"Gesprächsführung; Beratung";Festigung von Kernkompetenzen;
4;Gesprächskompetenz;Festigung von Kernkompetenzen;
2;Gestaltung der künftigen ZLV von Schulleitung und RPK.;Nichts;
4;Gestaltung der neuen Netzwerkumgebung.;Nichts;
3;Gestaltung der Ziel- und Leistungsvereinbarung;Nichts;
3;Gestaltung der Ziel- und Leistungsvereinbarung (ZLV);Nichts;
2;Gestaltung der Ziel- und Leistungsvereinbarung mit RP;Nichts;
1;Gestaltung des Unterrichts für bessern Lernerfolg & abprüfen in Klassenarbeit;Nichts;
4;Gestaltung von gutem Unterricht;Festigung von Kernkompetenzen;
3;Gestaltung Unterricht;Festigung von Kernkompetenzen;
5;Gestaltung von Fortbildungsmodulen;Nichts;
3;Gestaltung von Sitzungen;Nichts;
7;Gestaltung Vorbereitungskurs;Nichts;
2;Gestaltung Ziel- und Leistungsvereinbarung;Nichts;
3;Gestaltung Ziel- und Leistungvereinbarung;Nichts;
2;Gestaltung ZLV;Nichts;
2;Gestaltung ZLV für ZGB;Nichts;
4;Gestattungsverfahren;Nichts;
7;gewaltfreie Kommunikation;Emotionsregulation;
3;Dinge, die für einen einfach scheinen, für Schüler sehr schwer;Situationsdiagnostik;
0;GLKs sind manchmal einfach zu lang;Nichts;
1;GFS Themen besser vorbereiten, koordinieren;Situationsdiagnostik;
1;GLK;Nichts;
4;Glückliche Schüler bei Ergebnisverkündung, Dankeschön erhalten;Nichts;
0;Grenzen setzen;Nichts;
5;GoodNotes auf dem IPad erprobt;Wissenserweiterung;
3;Durch andere Herangehensweise an ein Thema ergaben sich neue Fragen, die die Sicht der Schüler auf das Thema widerspiegeln. Hat meine Sicht gut ergänzen können.;Situationsdiagnostik;
5;großartiger kollegialer Austausch;Positive Einstellung zur Teamarbeit;
5;Größer Einblick in die Prüfungen;Nichts;
7;Grundkenntnisse für neue Leitungsaufgaben;Wissenserweiterung;
0;Gruppenarbeit von Schülern organisieren und durchführen;Nichts;
2;Grundlagen agiler Fuehrung;Wissenserweiterung;
3;Grundlagenarbeit, viel Geduld und persönliche individuelle Förderung sind immens wichtig;Bewusstsein der Bedeutung von Gelassenheit;
4;Durch die Korrektur weiß ich genauer, was vor der Prüfung noch wiederholt werden muss.;Situationsdiagnostik;
4;Ein neues Bildungsplanthema war nicht optimal von mir aufgearbeitet, hier müssen beim nächsten Unterrichten Änderungen eingeplant werden;Fähigkeit zur Selbstreflexion;
0;Gut vorbereitet zu sein, Materialien ordnen;Gewissenhaftes, sorgfältiges Arbeiten;
1;Gut fliegende Flieger zu falten;Nichts;
0;Gut vorbereitete Klassenarbeit, gut zu korrigieren;Nichts;
0;Gut vorbereitete Klausuren lassen sich schneller korrigieren;Situationsdiagnostik;
0;gut vorbereiteter Unterricht, hoher Lernerfolg bei SS;Situationsdiagnostik;
3;Gut funktionierender Unterricht;Nichts;
1;gut vorbereitete Gruppenarbeit funktioniert wunderbar;Situationsdiagnostik;
2;Eine Schüler Gruppe bzw. Klasse zu unterrichten(in dieser vertreten) die man nicht kennt,  macht die Ausarbeitung für den passenden Unterricht sehr schwierig.;Situationsdiagnostik;
2;Gut, dass ich freundlich geblieben bin. Eine Runde um den Block hilft auch Schüler.;Fähigkeit zur Selbstreflexion;
4;"Gutachten für Stipendium erstellt; Anforderungen kennen gelernt";Wissenserweiterung;
6;gute Absprache und Planungen;Gemeinsame Planung und Problemlösung;
2;Gute Anforderungen für anspruchsvollen Unterricht;Nichts;
5;gute Beiträge der TN;Nichts;
2;Gute Beziehungsebene zu der Schulleitung der Nachbarschule erleichtert notwendige Zusammenarbeit;Positive Einstellung zur Teamarbeit;
2;Gute Diskussion in der Klasse, deshalb Unterricht überzogen;Nichts;
1;Gute Dokumentation und strukturierte Ablage sind als Voraussetzungen zur Problemlösung gegeben.;Situationsdiagnostik;
0;Gute Einarbeitung von KollegInnen entlastet sehr.;Positive Einstellung zur Teamarbeit;
3;gute Diskussionen;Nichts;
2;gute Ergebnisse = schneller Stressabbau;Nichts;
3;gute Fortbildungen planen ist sehr vielseitig und aufwändig;Situationsdiagnostik;
1;gute Fragetechnik ist wichtig;Situationsdiagnostik;
1;Gute Ideen für den Unterricht;Wissenserweiterung;
3;Gute Ideen für IF-Projekt im Berufkolleg entwickelt;Wissenserweiterung;
5;gute Liste zum Abhaken führen;Gewissenhaftes, sorgfältiges Arbeiten;
3;Gute Planung im Vorfeld ist wichtig zur Stressbegrenzung;Gewissenhaftes, sorgfältiges Arbeiten;
3;gute Routine bringt Erfolg;Situationsdiagnostik;
5;dass die Zusammenarbeit zwischen Kollegen manchmal sehr kompliziert ist;Situationsdiagnostik;
1;Gute Unterrichtsvorbereitung hilft Stress im Alltag zu vermeiden. Ich kann entscheiden, wie lange eine eigenständige Lernphase der Schüler dauert.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
0;Gute Vorbereitung hilft;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
0;gute Vorbereitung ist für den Abend-Technikerunterricht erforderlich;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
3;gute Vorbereitung führt zu entspannterem Unterricht, kostet aber viel Zeit;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
3;gute vorbereitung ist wichitg,allerdings spontan.reagieren ein muss;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;gute Vorbereitung verhindert Stress;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;gute Vorbereitung und Organisation ist alles;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;gute Vorinformation, Zuhören ist für Beratung wichtig;Gewissenhaftes, sorgfältiges Arbeiten;
3;gute Zusammenarbeit mit dem Referenten des RP;Positive Einstellung zur Teamarbeit;
3;guter Austausch;Positive Einstellung zur Teamarbeit;
6;"Guter Austausch mit einer anderen Schule
Einstellen von Unterrichtsmaterialien bei Moodle";Positive Einstellung zur Teamarbeit;
6;Guter Azstsusch;Positive Einstellung zur Teamarbeit;
3;guter Erfahrungsaustausch mit den Meisterschülern;Nichts;
5;guter kommunikativer Umgang bei Planung eines Erasmus Programms;Nichts;
1;Guter Umgang mit Eltern in Konfrontationssituationen;Nichts;
4;Guter Unterricht macht Sinn;Nichts;
0;Gutes Gespräch;Nichts;
2;Habe ein tolles Team;Jobzufriedenheit;
4;Habe ein Video gefunden bei dem Wasser bei Raumtemperatur siedet. Mit Link zum Händler der Apparatur. Mit unserem Schulequipment hat das Experiment nie funktioniert.;Nichts;
4;Habe einen Papierstau beseitigt - an einer mir unbekannten Stelle meines Druckers.;Nichts;
0;Habe Einschulungsunterlagen/eingesammelte Ausbildungsverträge durchgearbeitet/sortiert;Nichts;
0;halbe Klasse hat gefehlt, sehr ruhig;Nichts;
2;Hallenschließung für Flüchtlinge führt noch zu Deputatsänderungen in der 3. Woche. Lösungen sind schwierig;Nichts;
4;Handys abnehmen hilft zeitlich begrenzt, um für mehr Mitarbeit zu sorgen;Situationsdiagnostik;
0;Hat alles geklappt:-);Nichts;
1;hat die Pause gekürzt;Nichts;
2;HAVE-Modell der agilen Führung;Nichts;
0;Heimfahrt = „Pause“, daher wenig erholsam;Nichts;
4;Heine Biografie;Wissenserweiterung;
0;Hektik vor dem Unterricht.;Nichts;
3;Herstellung von Präparaten mit SuS muss kleinschrittiger erfolgen;Situationsdiagnostik;
0;Heterogene Klasse, Motivation niedrig;Situationsdiagnostik;
2;Heterogenität bei HA-Qualität der SuS;Situationsdiagnostik;
1;Heterogenität macht sehr viel Arbeit;Situationsdiagnostik;
0;Heute beginnt die Zweitkorrektur von 8 Facharbeiten mit jeweils 15 Seiten;Nichts;
6;Hilfe für weiteren Umgang mit schwierigen Klassen;Gegenseitige Unterstützung;
1;Hilfe holen im Umgang mit pädagogischen Belangen ist essentiell für die eigene Gesundheit.;Fähigkeit zur Selbstreflexion;
7;Hilfsbereitschaft;Festigung von Kernkompetenzen;
3;Hineinversetzen in SuS;Sonstiges;
5;Hintergründe bzgl Plagiats, Denke der Schüler;Nichts;
7;Hintergrundwissen, Aktuelles aus der Wirtschaft;Wissenserweiterung;
0;Hitze stresst;Nichts;
2;Hitze und Präsenzfortbildung kurz vor den Ferien ist ein Marathon;Nichts;
1;Hohe Außentemperaturen lassen die Leistung drastisch sinken.;Situationsdiagnostik;
4;dass es besser ist Prüfungsaufgaben al Team zu formulieren , denn dann gibt es wenig Abstimmungsprobleme bzw. können diese direkt geklärt werden;Gemeinsame Planung und Problemlösung;
0;Hoher Arbeitsaufwand für  das Erstellen der Prügungsaufgaben;Nichts;
1;hoher Krankenstand erfordert viel Zeit;Situationsdiagnostik;
4;Homepage pflegen;Nichts;
1;Hörverstehensklassenarbeiten sind super zu korrigieren.;Nichts;
2;Hübsche Vorlage wiederentdeckt, Aufräumen hilft;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
2;Hybridunterricht;Nichts;
2;Hybridunterricht vorbereiten;Nichts;
0;Hygienemaßnahmen am Arbeitsplatz, Tisch und Tastatur desinfizieren, Hände reinigen, Maske wechseln;Nichts;
3;Einzelgespräche bringen Schüler zum nachdenken über ihr Verhalten;Situationsdiagnostik;
2;Ich arbeite an einem digitalen Fortbildungsprojekt für Medizinische Fachangestellte. Die Projektleitung hat die Uniklinik Bonn. Die digitalen Fortbildungen nutze ich für die Ausbildung der Medizinischen Fachangestellten an der Schule.;Nichts;
0;Ich bin eigentlich zu muede zum Unterrichten.;Emotionale Erschöpfung;
0;Ich bin im falschen Job.;Jobunzufriedenheit/Frustration ;
3;ich bin schon lange Lehrer und trotzdem macht mir die Vorbereitung für die mir unbekannten Schüler noch immer Stress , Stress macht mir auch,  wenn man in den Ferien das Programm umstellen und ich keine Info bekomme;Fähigkeit zur Selbstreflexion;
3;Einzelgespräche und kurzes Feedback zur mündlichen Entwicklung bringt mehr Motivation;Situationsdiagnostik;
4;Ich bleibe bei meiner Überzeugung und mache keine Änderungen der Kollegin zu liebe;Fähigkeit zur Selbstreflexion;
2;Ich darf den Kollegen obwohl erfahren, nicht allein mit den Schülern über massive Störungen reden lassen!;Situationsdiagnostik;
1;ich empfinde diese App als stressreich;Fähigkeit zur Selbstreflexion;
5;Ich habe die Namen der Einzelzeile unserer Destillarionsapparatur durch intensive Recherche ermittelt und mit Foto auf OneNote verewigt.;Wissenserweiterung;
2;Ich habe diese Vertretung eine Stunde vorher bekommen, das macht eine gute Vorbereitung sehr schwierig bzw. nicht möglich. Diese kurzfristigen Vertretungen lösen sehr hohen Stress aus, der sich erst einen oder zwei Tage später verflüchtigt.;Nichts;
4;Ich habe ein neues Experiment aufgebaut und festgestellt, dass ich die notwendige APP für die digitale Datenerfassung nicht herunterladen kann, weil das die Schule nicht gestattet im Schulnetz.;Nichts;
2;Ich habe ein neues Online-Quiz-Spiel ausprobiert. Die Schülerinnen haben damit wichtige Inhalte des Unterrichts wiederholt und hatten Spaß dabei. Die Vorbereitung des Spiels hat mich allerdings den letzten Sonntagnachmittag gekostet.;Nichts;
7;ich habe eine Fortbildung zu einem neuen Thema gehalten und mich entsprechend eingearbeitet;Wissenserweiterung;
4;Ich habe eine Nachklausur für die Pädagogik und Psychologie Klassenarbeit erstellt.;Nichts;
2;Ich habe einen Ausflug bei der Schulleitung beantragt und habe Fragen zum Formular gehabt.;Nichts;
6;Ich habe einen neuen Test angewendet, als Beratungslehrerin;Nichts;
6;ich habe einige Funktionen in excel kennengelernt;Wissenserweiterung;
3;ich habe erneut die Erfahrung gemacht,  dass gruppendynamische Spiele sehr aussagekräftig sind,  viel Fingerspitzengefühl benötigen und mich anschließend gedanklich lange beschäftigen;Fähigkeit zur Selbstreflexion;Situationsdiagnostik
7;Ich habe für die Klasse eine Informationsveranstaltung organisiert. Daran habe ich auch teilgenommen.;Nichts;
2;Ich habe für eine Prüfungserstellungskommission spanische Texte gesucht und bearbeitet, um sie den anderen Kommissionsmitgliedern für die Prüfung vorzuschlagen. Anspruchsvollere Texte als im normalen Unterricht, da nicht didaktisiert;Nichts;
2;Ich habe gelernt, dass der Notendurchschnitt 4,48 für die Kammerprüfung ausreicht. Dies wurde willkürlich festgelegt. Eine gesetzliche Grundlage konnte mir nicht genannt werden. Das ist alles sehr undurchsichtig.;Wissenserweiterung;
0;"Ich habe korrigiert; keine Lernerfahrung für mic";Nichts;
5;Ich habe meine Klasse besser kennengelernt;Wissenserweiterung;
4;Ich habe meinen Unterrichtsmethoden an die Bedürfnisse der Schüler angepasst und musste deshalb genau hinschauen wie die Schüler damit klarkommen. Während des Unterrichts habe ich Ideen für die individuelle Förderung gesammelt.;Situationsdiagnostik;
2;Ich habe mich in die Evolution der Gorillas eingelesen, damit ich eine neue Klassenarbeitsfrage erstellen kann.;Wissenserweiterung;
2;Ich habe mich in die Handhabung der neuen Materialien eingelesen.;Wissenserweiterung;
2;Ich habe mich in ein neues Thema EADS dem neuen Lehrplan eingearbeitet.;Wissenserweiterung;
5;Ich habe mich inhaltlich mit dem Thema auseinander gesetzt.;Wissenserweiterung;
5;Ich habe mich mit einer Kollegin über die Anpassung unserer Unterrichtsmethoden an die Kompetenzen der Schülerinnen unterhalten. Dabei ist mir aufgefallen, dass die Kollegin ähnlich vorgeht wie ich. Das hat mich bestätigt und mir neue Ideen gegeben.;Positive Einstellung zur Teamarbeit;
1;Ich habe mich über die Corona-Sonderregeln für das nächste Schuljahr informiert.;Wissenserweiterung;
2;Ich habe mich über die modernen Methoden des Fiebermessens informiert.;Wissenserweiterung;
5;Ich habe mich über die Stammesgeschichte des Menschen informiert, damit ich dieses Thema unterrichten kann.;Wissenserweiterung;
1;Ich habe mit der Klassensprecherin der undisziplinierten und leistungsschwachen Klasse gesprochen. Meine Vermutung, dass die Schülerinnen mit den Schulregeln und den Anforderungen überfordert sind, hat sich bestätigt.;Situationsdiagnostik;
1;Ich habe mit einer Kollegin über eine gemeinsame Schülerin, die eine Vollverschleierung trägt, gesprochen. Es ist wohl unklar, ob ein Gesetz die Vollverschleierung in der Berufsschule verbietet.;Nichts;
3;Ich habe nach lebensnahen und spannenden Beispielen für einen neuen Lehrplaninhalt gesucht und bin fündig geworden.;Nichts;
2;Ich habe nach Minuten verstanden, was diese Bild auf dem Kopiererdisplay bedeutet.;Wissenserweiterung;
3;Ich habe tagsüber völlig vergessen, zu Essen und zu Trinken und plötzlich musste ich feststellen, dass ich schleunigst nach Hause musste zum Privattermin;Nichts;
0;ich habe unterrichtet;Nichts;
1;Ich habe wieder Neues im Umgang mit dem Tablet dazugelernt. Hat allerdings Zeit gekostet!;Wissenserweiterung;
1;Ich habe zu viel zu tun, das führt zu innerlichem Stress.;Emotionale Erschöpfung;
3;Eltern beim nächsten Mal früher einbeziehen.;Situationsdiagnostik;
0;Ich hatte bisher noch keine Pause und wollte deshalb relativ schnell das gespräch beenden;Nichts;
0;Ich hatte Hunger und Durst, aber nur 10 Minuten Zeit.;Nichts;
3;ich hatte in der Pause Besuch von einer ehemaligen Schülerin,  es war anstrengend,  weil ich mich nicht zurückziehen konnte,  aber auch schön,  weil sie erzählt,  dass sie eine sehr gute Zeit in meiner Klasse hatte;Nichts;
2;Ich kann auch krank arbeiten;Nichts;
7;Elterngespräche besser frühzeitig führen.;Situationsdiagnostik;
0;Ich kann es gar nicht glauben, dass KL-Geschäfte so viel Zeit kosten. Heute waren es: Schulabmeldung, Komplikation nach OP, Reha, Krankenhaus, Schüler-Narrative, Schulverweigerer;Nichts;
0;Ich kann mich km Gespräch kurzfassen, sodass ich  zu meiner  Pause komme.;Nichts;
3;Elterngespräche sind wichtig;Situationsdiagnostik;
2;Erkennen von Verständnisproblemen bei SuS;Situationsdiagnostik;
0;Ich kann nicht an 3 Baustellen gleichzeitig sein;Fähigkeit zur Selbstreflexion;
3;Erstmalig in Präsenz - Präsenz ist Online-Veranstaltung in allen Belangen deutlich überlegen;Situationsdiagnostik;
2;Es entstehen bereits gewalttätige Konflikte zwischen ukrainischen und russischen Flüchtlingen;Situationsdiagnostik;
2;Es gibt lebhafte, lebendige Gruppen und stille, eher gemütliche Gruppen.;Situationsdiagnostik;
0;"Es ist gut, kollegen zu motivieren, schwierige Situationen in Klassen erstnal versuchen, selbst zu klären. 
";Situationsdiagnostik;
1;Ich muss jede Tätigkeit sofort im Tagebuch der Arbeitszeitstudie erfassen, sonst kostet mich das im Nachhinein viel zu viel Zeit.;Bewusstsein der Bedeutung von gewissenhaftem, sorgfältigen Arbeiten;
1;Es gibt so komplexe Zusammenhänge, diese auszuwerten ist echt aufwendig.;Situationsdiagnostik;
5;Ich muss mich noch neutraler verhalten;Fähigkeit zur Selbstreflexion;
